1	Cities in Canada
2	Cities in China
3	Cities in Germany
4	Cities in the Middle East
5	Cities in Australia
6	Cities with a large harbor
7	Capital cities in East Asia
8	Cities in Scandinavia
9	Cities on the Mediterranean Sea
10	Cities with a desert climate
11	Cities built on seven hills
12	Cities with multiple official languages
13	Cities in a north america but not in USA
14	Cities in a country with the largest population
15	Cities that hosted the winter olympics
16	Capital cities of G7 nations
17	Cities with over 20 million population
18	Cities where Arabic is the primary official language
